Sample_ID,otu0110,otu0010,otu0026,otu0123,otu0304,otu1283,otu1124,otu0057,otu2814,otu0091,otu0297,otu0069,otu0283,otu0253,otu1391,otu3352,otu1817,otu1081,otu0113,otu0466,otu1670,otu0033,otu0745,otu1462,otu0163,otu0221,otu0340,otu1343,otu2009,otu1068,otu3986,otu2981,otu0080,otu0508,otu0291,otu0036,otu1160,otu2676,otu1328,otu0931,otu2317,otu1522,otu2034,otu0292,otu0402,otu0695,otu3598,otu1511,otu3730,otu1847,otu8979,otu9826,otu2785,otu0535,otu0618,otu1156,otu1298,otu1635,otu1780,otu2304,otu2677,otu2867,otu2928,otu3047,otu3177,otu3656,otu3791,otu4611,otu4818,otu5317,otu5511,otu5993,otu6247,otu9250,otu9823,otu9981,otu9983,otu10872,otu15566,otu15575,otu19130,otu20561,otu20565,otu20566,otu22413,otu24962,otu24981,otu24998,otu24999,otu25010,otu29628,otu29689,otu29717,otu29740,otu29797,otu29801,otu29806,otu29955,otu29963,otu30015,otu30019,otu30066
CTD28-10,59,2644,1122,600,50,0,0,2373,0,244,125,445,32,107,0,0,0,10,0,88,9,1450,25,0,203,66,0,55,0,39,0,1,59,0,206,306,0,0,0,0,0,0,0,37,306,23,0,21,0,0,1,0,0,408,0,0,0,0,57,26,0,0,26,57,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
CTD28-25,58,2285,1057,798,93,0,0,2917,0,226,104,520,28,221,18,0,0,0,19,138,20,2830,0,0,423,42,0,65,0,29,0,0,38,0,326,289,0,0,0,0,0,15,0,41,279,15,0,0,8,0,0,0,0,355,0,0,0,0,49,33,0,0,32,72,0,0,14,0,0,0,0,0,0,0,12,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
CTD28-50,68,2648,1023,785,99,0,0,2474,0,204,92,458,58,208,10,0,7,0,26,150,15,2919,0,0,441,70,0,54,0,43,0,1,59,0,410,245,0,0,0,0,0,0,0,37,277,37,0,29,0,0,0,0,21,371,29,0,0,0,54,34,0,0,23,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CTD28-75,40,2021,1202,708,128,36,0,2365,0,233,121,434,0,233,0,0,6,0,28,106,7,2873,0,8,373,67,0,45,0,34,0,4,44,0,399,242,0,0,0,0,0,0,0,51,263,33,4,17,0,0,3,0,0,337,0,0,7,10,32,29,0,0,22,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
CTD30-10,482,4435,1698,1855,29,0,4,1076,0,190,147,455,7,160,24,0,0,77,0,109,19,2899,104,0,380,41,0,77,0,191,0,0,0,0,64,1291,47,0,0,0,37,0,0,0,965,152,0,15,0,0,0,0,0,140,128,0,0,0,0,13,0,0,0,13,51,0,0,0,56,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
CTD30-25,756,3493,1598,1854,18,0,0,902,0,249,146,343,0,131,24,0,0,36,14,78,37,2459,101,0,356,35,0,51,0,132,0,1,40,0,38,1298,28,0,0,0,54,0,0,0,480,97,0,19,0,0,0,0,0,115,104,0,0,0,0,9,0,0,15,9,59,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CTD30-50,114,2264,956,621,154,0,31,204,15,194,166,129,195,390,146,36,0,0,108,84,28,5319,244,23,1181,45,0,27,0,41,0,4,101,0,167,310,0,0,0,0,19,47,0,97,156,132,0,156,15,30,4,1,0,384,44,0,25,15,37,0,0,0,0,5,0,0,0,0,28,0,19,0,0,18,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0
CTD30-75,0,1615,594,307,275,0,57,284,104,191,153,68,231,590,162,22,0,0,197,135,51,4677,260,74,2180,44,0,0,44,0,0,4,146,0,174,121,0,0,0,0,0,93,0,263,53,162,0,141,24,0,0,0,0,447,0,0,128,93,50,12,0,0,0,7,0,0,28,7,0,0,0,24,0,0,29,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
CTD32-10,197,3543,2399,1171,18,0,21,1012,0,188,208,242,23,104,16,0,0,0,15,130,11,3606,173,0,307,28,0,89,0,217,0,0,28,0,31,1091,0,54,0,0,49,0,0,0,163,68,3,25,0,75,1,0,30,147,89,26,0,0,21,5,0,35,0,6,0,39,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CTD32-25,619,3423,2245,953,16,0,8,803,0,205,216,201,23,136,22,0,0,9,0,115,5,4211,163,0,272,42,0,89,13,223,0,0,0,0,38,2294,0,52,0,0,66,0,0,0,138,72,0,18,0,34,2,0,32,155,199,0,0,0,21,0,0,26,0,11,103,41,0,0,24,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
