Sample_ID,otu0110,otu0010,otu0699,otu0026,otu0123,otu0304,otu1283,otu1124,otu0057,otu2814,otu0091,otu0297,otu0069,otu0283,otu0253,otu1391,otu1817,otu1081,otu0113,otu0466,otu1670,otu0033,otu0745,otu1462,otu0163,otu0221,otu0340,otu38547,otu1343,otu2009,otu1068,otu3986,otu2981,otu0080,otu0291,otu0036,otu1160,otu2676,otu1328,otu2317,otu1522,otu2034,otu4205,otu0292,otu0402,otu0695,otu1511,otu3730,otu18047,otu8979,otu9826,otu0535,otu1156,otu1298,otu1635,otu1780,otu2304,otu2677,otu2867,otu2928,otu3047,otu3656,otu3791,otu4611,otu4818,otu5027,otu5317,otu5511,otu5993,otu6247,otu9250,otu9983,otu10037,otu12378,otu13915,otu14417,otu17082,otu24962,otu30106,otu38538,otu38578,otu38613,otu38648,otu38709,otu38715,otu38739,otu38745,otu38873,otu39011,otu39036,otu39042,otu39075,otu39079,otu39081,otu39107,otu39139,otu39181,otu39182,otu39187,otu39242,otu39245,otu39247,otu39254,otu39256,otu39260,otu39263
TAN1901-CTD06-1,168,6550,0,1239,181,33,0,0,409,0,294,218,3240,131,59,0,0,0,74,40,12,70,129,13,119,408,0,19,469,0,167,0,1,52,46,129,0,40,0,29,0,0,0,0,178,82,0,0,0,1,0,75,0,0,0,16,28,0,39,72,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
TAN1901-CTD06-3,0,5914,0,1105,160,0,0,0,451,0,370,129,3170,220,74,0,0,0,66,45,9,116,76,9,193,465,0,23,451,0,99,0,0,79,62,59,0,0,0,0,0,0,0,32,83,55,0,0,0,3,0,137,0,0,12,20,26,0,43,54,12,0,5,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,12,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TAN1901-CTD06-5,72,3131,0,1144,197,44,71,0,241,13,595,252,733,710,148,0,0,0,339,67,7,567,66,116,129,312,0,12,633,0,0,0,40,164,0,61,0,0,70,16,0,0,0,252,0,59,37,0,1,2,0,399,0,59,136,109,20,0,0,41,12,0,73,0,0,201,0,0,13,0,0,0,0,0,0,0,0,0,0,1,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TAN1901-CTD07-1,65,2960,0,3006,83,0,0,6,10177,0,188,31,213,226,148,0,0,0,28,116,0,2352,0,3,372,217,0,9,283,0,67,0,2,222,1204,78,0,0,0,0,0,0,0,0,109,193,0,0,0,0,0,148,0,0,0,0,17,0,0,15,22,0,0,0,0,0,0,0,0,0,0,0,0,0,104,0,0,0,0,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
TAN1901-CTD07-4,148,2177,0,2003,66,0,0,12,10554,0,195,33,171,55,81,0,0,0,13,102,0,3180,0,0,329,159,0,2,521,0,34,0,0,105,981,178,0,0,0,0,0,0,0,0,74,131,3,0,0,0,0,112,0,0,0,0,22,0,19,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TAN1901-CTD07-5,63,4749,0,1791,207,27,0,51,3248,0,344,104,236,368,91,0,8,0,35,620,4,1442,0,7,468,203,0,10,740,0,18,0,1,184,1072,391,0,36,0,24,36,0,0,129,30,23,84,0,0,0,0,709,0,0,124,16,36,0,19,23,29,0,0,0,0,0,0,32,0,0,0,0,0,0,58,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TAN1901-CTD08-1,0,1443,0,1953,95,0,0,23,8020,0,59,6,247,29,95,0,0,0,14,77,0,11070,5,0,109,99,0,2,130,0,61,0,1,96,456,169,0,0,0,6,0,0,0,0,21,62,0,0,0,0,0,89,0,0,11,0,23,7,0,0,27,0,5,0,0,0,0,0,0,0,0,0,0,0,182,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TAN1901-CTD08-4,0,504,0,1680,110,0,0,35,7092,0,191,18,339,35,95,0,4,0,0,113,0,17153,0,0,176,109,0,0,89,0,47,0,0,67,419,169,0,0,0,16,0,0,0,0,42,94,7,0,0,0,0,117,0,0,9,0,28,0,0,0,19,21,11,0,0,0,0,0,0,13,0,0,0,0,339,0,0,0,0,26,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TAN1901-CTD09-1,0,1453,0,982,59,0,0,21,14275,0,85,19,219,19,100,0,0,0,0,69,0,8706,0,0,55,105,0,0,193,0,31,0,3,49,465,107,0,0,0,0,0,0,0,0,59,84,0,0,0,0,0,85,0,0,5,0,29,7,0,0,48,0,30,0,0,0,0,0,0,0,0,0,0,0,218,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TAN1901-CTD09-3,58,414,0,830,88,0,0,40,9068,0,151,10,273,28,75,0,0,0,8,60,4,15476,0,5,138,109,0,4,89,0,13,0,1,56,407,239,0,0,0,0,0,0,0,0,150,158,10,0,0,0,0,131,0,0,65,0,33,0,0,0,43,0,138,0,0,12,0,0,0,13,0,0,0,0,198,0,0,0,0,13,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TAN1901-CTD09-5,0,1802,0,1385,45,0,0,23,2912,0,72,11,205,0,52,0,0,0,0,82,0,14487,0,12,182,123,0,0,308,0,20,0,0,59,659,92,0,0,12,0,0,0,0,9,89,82,0,0,0,0,0,129,0,0,123,0,23,0,0,0,26,0,108,0,0,19,0,0,0,10,0,0,0,0,121,0,0,0,0,10,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TAN1901-CTD10-1,39,1333,0,726,71,0,0,25,11886,0,83,8,146,16,79,0,0,0,0,39,0,9653,9,0,49,77,0,0,192,0,32,0,0,46,294,160,0,0,0,0,0,0,0,0,56,75,0,0,0,0,0,85,0,0,16,0,22,0,0,0,35,0,26,0,0,0,0,0,0,0,0,0,0,0,145,0,0,0,0,7,4,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TAN1901-CTD10-3,0,1130,0,714,178,0,0,17,13238,0,99,4,119,15,61,0,0,0,0,31,0,8585,0,0,49,71,0,0,249,0,45,0,0,41,289,120,0,0,0,0,0,0,0,0,67,118,0,0,0,0,0,98,0,0,12,0,0,0,0,0,35,0,9,0,0,0,0,0,0,0,0,0,0,0,194,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TAN1901-CTD10-5,26,1671,0,689,169,0,0,14,12671,0,117,9,119,23,68,0,0,0,0,54,0,8856,0,0,40,95,0,0,265,0,24,0,0,0,311,87,0,0,0,0,0,0,0,0,86,86,7,0,0,0,0,131,0,0,29,0,18,0,0,0,34,0,14,0,0,0,0,0,0,18,0,0,0,0,176,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
TAN1901-CTD11-1,76,3800,0,4966,62,0,0,37,8283,0,0,8,169,30,44,0,6,0,15,104,0,3435,0,0,33,282,0,1,318,0,167,0,0,103,794,133,0,23,0,14,0,0,0,0,34,36,0,0,0,0,0,74,0,0,0,0,49,0,37,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,22,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TAN1901-CTD11-3,69,3727,0,5051,65,0,0,35,8749,0,61,0,126,22,42,0,0,0,9,73,0,3462,0,0,33,282,0,3,325,0,174,0,0,81,852,344,0,0,0,0,0,0,0,0,37,39,0,0,0,3,0,96,0,0,0,0,68,0,41,0,23,0,0,0,0,0,21,0,0,0,0,0,0,0,28,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
